Case,Baseline Time,C2L Time,C2LSAM Time
c115ebeec47bb82fa7f9850a632ec94a-brent_71_0.25,5.61,31.80,1000.00
b86f2425cafeb1239d65bd529e372e02-ER_500_10_1.apx_1_DC-AD,1000.00,1000.00,1000.00
8403d03df1ce64af3bf7581449d320fb-brent_63_0.26,1.85,10.74,1000.00
bab57c8799cb05c8c1757c60d4ebdefd-satcoin-genesis-UNSAT-17400,1000.00,1000.00,1000.00
4ffb80a0ad8b753fee1492101ffcbdbb-REGRandom-K4-L1-Seed5,1000.00,1000.00,1000.00
0982db5b0b15642e79e8242881529b39-REGRandom-K4-L3-Seed15,1000.00,1000.00,1000.00
06b138e8a6da806e88ac7da2919cef30-grs-192-32,105.06,386.13,533.13
72b5ad031bf852634bc081f9da9a5a60-GzipFile_close_11,548.51,651.21,40.11
9631e4082abf03e560b889c5715d3979-PRP_30_41,1000.00,1000.00,1000.00
41a8365f60db55b71d949df6954e0db7-FileObject_open_13,999.99,1000.00,1000.00
29505dfcf090c4cfdfb59268160be81d-hash_table_find_safety_size_24,1000.00,1000.00,1000.00
caead0e04b6de4365822b25dfd55967f-preimage_80r_490m_160h_seed_150,1000.00,1000.00,1000.00
5dc5185101e1d439d14f0a04acfa9bfb-28_2,1000.00,1000.00,1000.00
40ae60a61929b6bfa2ac99ab4b9a0f7e-grs-96-192,1000.00,1000.00,1000.00
dd169198070f9aa35015de65e8209a05-LZMAFile_write_12,1000.00,200.30,555.86
00bb0b4ef28ed38c49de4c54b9fabc4d-25_2,999.99,1000.00,1000.00
23c4e178c94c0dff82ea6c87abed7ecc-rphp_p60_r60,1000.00,1000.00,1000.00
f02379d63678798e38dcc52b043cc51d-asconhashv12_opt64_H13_M2-axxJh7DAq767y_m4_5.c,1000.00,1000.00,1000.00
8fcc57f6c75cb2ac48d19e3038ad3c6c-asconhashv12_opt64_H6_M2-4XKSMr_m1_3_U25.c,416.69,1000.00,1000.00
38ca761a5808eace8bc8f1fcfdb5b5a8-multiplier_15bits__miter_20,1000.00,1000.00,1000.00
965ca988015c9aee5a1a7b2136c1fe5d-os_fwalk_12,1000.00,31.16,448.76
ad69e0a0880cd377e26260f7e4bc6d51-g2-T49.2.0,1000.00,1000.00,1000.00
19c6a29181bee2f3aa03bfb5c5d693d0-brent_9_0,357.60,182.96,917.81
44b249f51321a2bf38f730534b781bec-c880_gr_rcs_w7.shuffled,0.03,1.57,5.07
30e680ded3b9be6be0b5baac273f2646-asconhashv12_opt64_H5_M2-A8qZX_m0_3_U23.c,778.48,1000.00,1000.00
96ae6bde39369f75aa975b0f5b74c325-asconhashv12_opt64_H13_M2-NBRdIKEb8MS2W_m3_5.c,298.85,1000.00,1000.00
db4a0d4ba26c46d66ad6cdcb0645a4d9-WS_500_16_70_10.apx_2_DC-ST,106.34,96.99,102.31
f448874997bae64bd455fb00309dc738-asconhashv12_opt64_H7_M2-OrF8zEw_m2_4.c,326.54,1000.00,1000.00
824c21545e228872744675ae4ee32976-WCNFPlus_to_alien_14,1000.00,769.75,1000.00
21bde0ebb111c637a1ae8789827b0b73-WCNF_from_fp_13,999.99,1000.00,1000.00
c9af5b23c87350f5d817acc9ca7b69bb-CNF_to_alien_12,1000.00,1000.00,1000.00
6aacae96461cb65176942b6dc88ea470-mchess20-mixed-25percent-blocked,1000.00,1000.00,773.76
eec821f866557886a5b0352332943fa2-SCPC-700-81,14.04,29.82,90.69
c9f7ca549a6773bea4628e2c66f597c6-brent_51_0.17,2.08,16.25,1000.00
aa4a861240c0c39b5aa44602133ae5e1-stb_418_125.apx_2_DC-ST,181.47,177.04,185.83
48ac8814180bdc90bf96a4caea64dae2-intervals633,1000.00,1000.00,1000.00
a0c7aea176b5a2b65c27c8af7039326b-grs-160-64,1000.00,1000.00,1000.00
4e64ffc14db014d5591f40865376c32a-satcoin-genesis-UNSAT-7200,1000.00,1000.00,1000.00
b6c6f1081dbb672e8294685d03326b09-intervals80,999.97,1000.00,1000.00
35b19a3332597c1e5a3668f75ca72971-SC23_Timetable_C_480_E_50_Cl_32_D_6_T_50,1000.00,1000.00,1000.00
4fd2e4e6ecb4fe8d3f9e1fda81633469-brent_69_0.05,0.37,25.28,1000.00
6e9cae5108bd423666c73aaace197769-brent_51_0.28,58.45,32.05,913.12
22d0a2fdc65d884c2bbde56af9feba4a-intervals961,1000.00,1000.00,1000.00
017ba03ed108f492c9293c7c95e5cae9-multiplier_14bits__miter_14,1000.00,1000.00,1000.00
1b86f59ce4c43f19f0ad1238f8c362b4-PRP_30_37,1000.00,1000.00,1000.00
38833d6a1ff6a56ef22bd2dc1e3fdde7-rbsat-v1150c84314gyes10,1000.00,170.21,1000.00
3cff6c97a515aecfe46ba0f1256a3c11-shuffling-1-s1870372346-of-bench-sat04-423.used-as.sat04-562,4.35,16.80,15.57
ae9b7950ef1513068bb9339893ec8c50-WCNF_to_alien_14,999.98,1000.00,1000.00
4380f8ed143d97a65f8888b2feeddb80-intervals477,1000.00,1000.00,1000.00
4282ea42fd414bfd2c4bf81fe8a43e24-DivU_1520_10.cnf.sanitized,1000.00,1000.00,1000.00
5918f1624d4dfd964227356786a4e9ec-ContextModel_output_8_4_9.bul.dimacs,1000.00,1000.00,1000.00
dbe18c99e95ac42816b99b96d36a8732-grs-32-256,1000.00,1000.00,1000.00
24bf910d2b9da558fb3e71a4dbe79ba3-lisa19_99_a.shuffled,4.79,2.89,1.89
0297c2a35f116ffd5382aea5b421e6df-Urquhart-s3-b3.shuffled-as.sat03-1556,0.47,1.01,1.01
87ec32f70c5e3a279e636f7f62e70a19-mchess22-mixed-45percent-blocked,1000.00,1000.00,1000.00
1eea3d913d346b900252d77fc0cb25c8-par32-4.shuffled,1000.00,1000.00,1000.00
3728fe50d8038c639c2d9c84e04fe2b1-46bits_11.dimacs,16.65,144.63,179.29
68649ac2830edad5d0dc7e3d13935132-SCPC-800-46,21.83,148.10,228.13
df237594dc22b8f7cad2c4b38a23e40c-17_0,1000.00,1000.00,1000.00
d66ab8bce1b8979dbd26b3c220e817be-PRP_200_100,1000.00,1000.00,1000.00
f4064d73fd6e69caf154046e61fea7b8-cliquecoloring_n18_k7_c6,1000.00,1000.00,1000.00
008e7716c69009090ff6bd0048dc55f8-SAT_dat.k10,49.39,123.97,225.08
34e5fd58b65bf305cc773f0dbfb47917-intervals553,1000.00,1000.00,1000.00
6dca14e1af1795565d1e502ddc7d376b-hash_table_find_safety_size_15,1000.00,1000.00,1000.00
2537f10a45d7ab430334dc1de6bfbdf0-SC23_Timetable_C_486_E_50_Cl_33_D_6_T_50,1000.00,1000.00,1000.00
a4941208671f6ebfd118e4e563538c31-SCPC-1000-20,38.98,213.55,30.24
21667cf04beae213adbab0d48408a7e4-satcoin-genesis-UNSAT-10600,1000.00,1000.00,1000.00
2a4680a801ad32ab8768030250daf0c8-ER_500_10_5.apx_2_DC-ST,999.97,1000.00,1000.00
62c763bdf8d351b15df3a4d62a03eba0-g2-ak128astepbg2asisc,1000.00,1000.00,1000.00
ae9522ea003ea9f75891b2d37a5e264b-srhd-sgi-m37-q446.25-n35-p30-s33692332,0.05,58.60,487.49
711ff7681711949f44b07a0d530dc729-asconhashv12_opt64_H12_M2-CxLJidFX21oI_m3_6_U2.c,1000.00,1000.00,1000.00
fee70cede2b5b55bfbdb6e48fbe7ce4f-DLTM_twitter690_74_16,83.23,282.17,110.31
004b0f451f7d96f6a572e9e76360f51a-spg_420_280,1000.00,1000.00,1000.00
bc7dc7a83b442a2bf4cf8cae3f0e0faa-hash_table_find_safety_size_18,1000.00,1000.00,1000.00
6549f23728c52d5319f30371ff709622-hash_table_find_safety_size_27,1000.00,1000.00,1000.00
cea96962ebd736646af54d950943d909-SCPC-800-41,22.01,51.74,75.76
29bab0de14e56e526be9683131005cb2-stb_588_138.apx_2_DS-ST,46.85,46.71,39.38
28857e681fc6a9077d5a7d0e9c7a19ad-hash_table_find_safety_size_14,1000.00,1000.00,1000.00
01bd0865ab694bc71d80b7d285d5777d-shuffling-2-s1480152728-of-bench-sat04-434.used-as.sat04-711,1000.00,1000.00,1000.00
c40838cb3ed9babe51dc41185e70a3dd-hash_table_find_safety_size_11,1000.00,1000.00,1000.00
262009b8df6350761c7dfc8761f0af79-intervals788,999.97,1000.00,1000.00
cd86fbfd8b7e0d66ec5fe8fe85c014d3-mchess22-mixed-35percent-blocked,1000.00,1000.00,1000.00
